MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,Bedrooms,Bathrooms,SquareFeet,YearBuilt,Floors,Garage,Pool,Location,Price
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,1.592,2,1,680,1999,1,1,0,Urban,15886877
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,2,1,792,2004,2,0,1,Urban,18475164
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,2,1,1086,1998,2,1,0,Urban,20971102
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,2,1,841,2006,3,1,1,Urban,21567717
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587,2,1,977,2001,1,1,0,Urban,19769143
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,1.629,2,1,951,1997,3,1,0,Urban,21378368
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,2,1,1051,1986,1,1,0,Urban,19338675
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,2,1,873,1989,1,1,0,Urban,17400108
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,2,1,1025,2000,1,1,1,Urban,21497871
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997,2,1,896,2001,2,1,0,Urban,18790842
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326,2,1,999,2000,2,1,1,Urban,23299849
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,1.075,2,1,910,1995,2,0,1,Urban,20554743
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938,2,1,830,1996,1,0,0,Urban,16330252
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055,2,1,993,1997,2,0,0,Urban,18290159
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1.089,2,1,820,2001,2,1,0,Urban,18041137
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,1.32,2,1,911,2006,2,0,1,Urban,20279658
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223,2,1,953,1999,2,1,0,Urban,19698227
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1.152,2,1,1161,1998,3,1,1,Urban,24398896
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,1.104,2,1,1146,1994,2,1,0,Urban,20679968
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,37.83,-122.27,1.049,2,1,900,1996,1,1,1,Urban,20904972
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1.097,2,1,1076,2003,1,0,1,Urban,21869726
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27,0.972,2,1,798,2001,1,0,1,Urban,18405912
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,1.045,2,1,982,2002,2,1,0,Urban,19709019
1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,1.039,2,1,553,2006,3,0,0,Urban,13623616
3.48,52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,37.83,-122.26,1.914,2,1,818,2006,2,1,0,Urban,19907226
2.5898,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1.76,2,1,718,2006,1,1,0,Urban,17647689
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,1.554,2,1,916,2004,2,1,0,Urban,19230051
1.2852,51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,1.5,2,1,768,2002,2,1,0,Urban,17793017
1.025,49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188,2,1,742,1995,3,1,0,Urban,16876031
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,1.888,2,1,929,1997,1,1,0,Urban,20169724
3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,1.844,2,1,840,2002,2,1,0,Urban,19578406
2.6768,52.0,4.335078534031414,1.0994764397905759,718.0,1.8795811518324608,37.83,-122.26,1.823,2,1,795,2004,3,0,0,Urban,17194634
2.026,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26,1.425,2,1,694,1995,3,1,0,Urban,17199178
1.7348,43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,37.82,-122.27,1.375,2,1,901,1990,1,1,0,Urban,17517552
0.9506,40.0,3.9,1.21875,423.0,2.64375,37.82,-122.26,1.875,2,1,814,1985,1,1,0,Urban,16162099
1.775,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,1.125,2,1,500,1994,2,1,0,Urban,14994817
0.9218,21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27,1.719,2,1,500,1974,3,0,0,Urban,12144997
1.5045,43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,0.938,2,1,879,1994,1,1,0,Urban,17504151
1.1108,41.0,4.473611111111111,1.1847222222222222,1959.0,2.720833333333333,37.82,-122.27,0.975,2,1,827,1993,3,1,0,Urban,18312873
1.2475,52.0,4.075,1.14,1162.0,2.905,37.82,-122.27,1.042,2,1,876,2005,1,1,0,Urban,17200903
1.6098,52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,0.875,2,1,1107,1999,2,0,0,Urban,18617379
1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28,0.831,2,1,952,2006,2,1,0,Urban,18942094
1.5057,52.0,4.77992277992278,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,0.875,2,1,872,1998,1,1,0,Urban,17251852
0.8172,52.0,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,37.82,-122.28,0.853,3,2,1189,2002,1,0,0,Urban,19945374
1.2171,52.0,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,0.803,2,1,945,2001,2,1,0,Urban,19334692
2.5625,2.0,2.7719298245614037,0.7543859649122807,94.0,1.6491228070175439,37.82,-122.29,0.6,2,1,651,1950,2,0,1,Urban,15333022
3.3929,52.0,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,0.757,2,1,1151,2002,1,1,0,Urban,22750137
6.1183,49.0,5.869565217391305,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29,0.75,3,2,1155,1999,2,1,0,Urban,26260452
0.9011,50.0,6.229508196721311,1.5573770491803278,377.0,3.0901639344262297,37.81,-122.29,0.861,3,2,1135,1997,2,1,0,Urban,20777884
1.191,52.0,7.69811320754717,1.490566037735849,521.0,3.2767295597484276,37.81,-122.3,0.761,3,2,1420,1998,2,0,1,Urban,26358461
2.5938,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,37.81,-122.3,0.735,3,2,1326,2001,3,1,0,Urban,25199340
1.1667,52.0,5.401069518716578,1.1176470588235294,604.0,3.229946524064171,37.81,-122.3,0.784,2,1,1215,2004,2,1,0,Urban,21895049
0.8056,48.0,4.382530120481928,1.0662650602409638,788.0,2.3734939759036147,37.81,-122.3,0.844,2,1,869,1996,2,1,0,Urban,17094158
2.6094,52.0,6.98639455782313,1.6598639455782314,492.0,3.3469387755102042,37.8,-122.29,0.813,3,2,1497,2002,2,1,0,Urban,26748872
1.8516,52.0,6.975609756097561,1.329268292682927,274.0,3.341463414634146,37.81,-122.3,0.85,3,2,1431,1999,2,1,1,Urban,28315822
0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29,1.292,2,1,852,1998,1,0,0,Urban,15489524
1.7719,26.0,6.047244094488189,1.1968503937007875,392.0,3.0866141732283463,37.81,-122.29,0.825,2,1,1245,1973,3,0,0,Urban,20740197
0.7286,46.0,3.375451263537906,1.0722021660649819,582.0,2.101083032490975,37.81,-122.29,0.952,2,1,828,1992,1,0,0,Urban,14726878
1.75,49.0,5.552631578947368,1.3421052631578947,560.0,3.6842105263157894,37.81,-122.29,0.75,3,2,1106,2000,2,1,0,Urban,22745951
0.4999,46.0,1.7142857142857142,0.5714285714285714,18.0,2.5714285714285716,37.81,-122.29,0.675,1,1,500,1993,2,1,1,Urban,15682932
2.483,20.0,6.2781954887218046,1.2105263157894737,290.0,2.180451127819549,37.81,-122.29,1.375,2,1,993,1973,1,1,0,Urban,18962810
0.9241,17.0,2.8177676537585423,1.0523917995444192,762.0,1.7357630979498861,37.81,-122.28,1.775,2,1,645,1964,1,1,0,Urban,13663187
2.4464,36.0,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,37.81,-122.28,1.021,2,1,1153,1988,1,1,0,Urban,21797558
1.1111,19.0,5.830917874396135,1.173913043478261,721.0,3.4830917874396135,37.81,-122.28,1.083,2,1,1136,1965,1,1,1,Urban,22344878
0.8026,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,37.81,-122.29,1.125,2,1,1083,1976,3,1,0,Urban,19722321
2.0114,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28,1.313,2,1,683,1983,3,1,0,Urban,17044974
1.5,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,37.81,-122.28,1.625,2,1,617,1964,1,0,0,Urban,12558698
1.1667,52.0,3.75,1.0,183.0,3.267857142857143,37.81,-122.27,1.125,2,1,785,1998,1,0,0,Urban,15042126
1.5208,52.0,3.9080459770114944,1.1149425287356323,200.0,2.2988505747126435,37.81,-122.28,1.125,2,1,929,2003,3,1,0,Urban,19689927
0.8075,52.0,2.490322580645161,1.0580645161290323,346.0,2.232258064516129,37.81,-122.28,1.375,2,1,500,2001,1,1,0,Urban,14223404
1.8088,35.0,5.609467455621302,1.0887573964497042,467.0,2.7633136094674557,37.81,-122.28,1.188,2,1,1041,1987,3,1,1,Urban,23564723
2.4083,52.0,6.721739130434782,1.2434782608695651,377.0,3.2782608695652176,37.81,-122.28,0.982,2,1,1294,1998,1,1,0,Urban,21692816
0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27,1.188,2,1,554,1992,2,1,0,Urban,13145545
0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,37.81,-122.27,1.625,2,1,563,1961,2,1,1,Urban,15383425
0.9722,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27,1.375,2,1,500,1959,1,0,0,Urban,10703795
1.2434,52.0,2.929411764705882,0.9176470588235294,396.0,4.658823529411765,37.8,-122.27,5.00001,2,1,637,1998,1,1,0,Urban,15756630
2.0938,16.0,2.74585635359116,1.0828729281767955,800.0,2.2099447513812156,37.8,-122.27,1.625,2,1,558,1970,2,1,0,Urban,15225643
0.8668,52.0,2.4431818181818183,0.9886363636363636,904.0,10.272727272727273,37.8,-122.28,1.375,2,1,585,2003,1,1,0,Urban,14070251
0.75,52.0,2.823529411764706,0.9117647058823529,191.0,5.617647058823529,37.8,-122.28,1.625,2,1,500,2006,2,1,0,Urban,13859844
2.6354,27.0,3.493377483443709,1.1490066225165563,718.0,2.377483443708609,37.79,-122.27,1.875,2,1,665,1975,1,0,0,Urban,14185150
1.8477,39.0,3.6723768736616704,1.3340471092077089,1327.0,2.841541755888651,37.8,-122.27,1.792,3,2,695,1987,2,1,0,Urban,17467988
2.0096,36.0,2.294016358157555,1.066293585880327,3469.0,1.493327593628928,37.8,-122.26,1.3,2,1,500,1988,2,1,0,Urban,14511210
2.8345,31.0,3.8949152542372882,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26,1.838,2,1,808,1981,2,0,0,Urban,16057114
2.0062,29.0,3.681318681318681,1.1758241758241759,202.0,2.21978021978022,37.81,-122.26,1.25,2,1,762,1982,1,1,1,Urban,19097697
1.2185,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26,1.7,2,1,589,1968,2,1,0,Urban,14073248
2.6104,37.0,3.7071428571428573,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26,1.931,2,1,717,1986,2,1,0,Urban,17801867
2.4912,29.0,3.7248,1.1312,2304.0,1.8432,37.81,-122.25,2.578,2,1,603,1979,3,1,1,Urban,19358160
3.2177,28.0,3.8784235136940546,1.070808283233133,2563.0,1.7120908483633934,37.81,-122.25,2.734,2,1,733,1980,2,0,0,Urban,16925349
3.125,39.0,3.745614035087719,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25,2.375,2,1,714,1987,1,1,0,Urban,17019598
2.5795,52.0,3.5154975530179446,1.1435562805872757,895.0,1.4600326264274062,37.81,-122.25,3.5,2,1,622,2003,1,0,0,Urban,14074883
2.8406,34.0,3.281721632196758,1.0698714365567357,2689.0,1.5030743432084963,37.81,-122.26,3.357,2,1,640,1985,1,1,0,Urban,15531038
4.9306,52.0,6.184426229508197,0.9221311475409836,674.0,2.762295081967213,37.82,-122.24,3.134,2,1,1277,2000,1,1,0,Urban,24293612
3.2727,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24,2.685,2,1,1077,1997,1,0,0,Urban,19968535
3.1691,52.0,4.165876777251185,1.0900473933649288,686.0,1.6255924170616114,37.81,-122.25,2.594,2,1,850,1999,1,1,1,Urban,21496439
3.9,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,37.82,-122.24,2.757,2,1,995,1998,1,0,0,Urban,18967595
3.9063,28.0,4.160847880299252,1.0660847880299251,1520.0,1.8952618453865338,37.82,-122.25,2.25,2,1,824,1975,1,1,0,Urban,18685401
5.0917,52.0,5.628458498023716,1.1422924901185771,550.0,2.1739130434782608,37.82,-122.25,2.625,2,1,933,2001,1,1,0,Urban,21358674
2.6429,32.0,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,37.82,-122.25,2.185,2,1,742,1977,1,1,0,Urban,16708997
3.0233,26.0,3.2530813475760065,0.9827444535743632,1749.0,1.4371405094494658,37.82,-122.25,2.55,2,1,656,1975,1,0,0,Urban,13877055
3.1484,52.0,4.578034682080925,1.0770712909441233,939.0,1.8092485549132948,37.83,-122.25,2.241,2,1,1161,1998,2,0,0,Urban,20306473
3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,2.431,2,1,745,1983,1,0,1,Urban,18842773
3.1429,52.0,4.3951890034364265,0.9862542955326461,534.0,1.8350515463917525,37.83,-122.25,2.316,2,1,909,2002,1,0,0,Urban,17868830
2.4234,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25,2.185,2,1,601,1981,1,1,0,Urban,15431214
3.0897,52.0,4.040501446480231,1.0655737704918034,1786.0,1.7222757955641272,37.83,-122.25,2.341,2,1,691,2006,2,0,0,Urban,15285855
5.8596,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,37.84,-122.23,3.276,2,1,1462,2000,2,1,0,Urban,28093436
5.2868,47.0,6.546391752577319,0.9360824742268041,1098.0,2.263917525773196,37.84,-122.23,3.476,2,1,1384,2001,1,1,0,Urban,25345763
5.956,41.0,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,3.661,2,1,1449,1987,2,1,0,Urban,27593054
4.9643,37.0,7.1063829787234045,1.148936170212766,98.0,2.0851063829787235,37.85,-122.24,3.35,2,1,1330,1989,2,1,0,Urban,25485479
6.3434,52.0,6.947890818858561,1.0198511166253101,1061.0,2.632754342431762,37.85,-122.23,3.736,2,1,1529,2001,2,1,0,Urban,29465226
5.1773,52.0,6.358558558558559,1.0342342342342343,1177.0,2.120720720720721,37.84,-122.24,3.895,2,1,1131,2005,3,0,1,Urban,26211488
7.2354,52.0,7.11716621253406,0.9945504087193461,901.0,2.455040871934605,37.85,-122.24,3.911,2,1,1482,2006,3,0,0,Urban,28155383
5.457,28.0,5.5303347280334725,1.096234309623431,2031.0,2.1244769874476988,37.85,-122.22,3.373,2,1,1325,1981,1,1,0,Urban,24913855
7.5,50.0,6.127348643006263,0.9874739039665971,1031.0,2.152400835073069,37.84,-122.22,2.952,2,1,1126,1998,1,1,1,Urban,27070217
6.0194,44.0,5.735343383584589,1.0,1358.0,2.274706867671692,37.84,-122.21,2.923,2,1,1090,1989,2,1,0,Urban,22658677
7.5544,40.0,7.631498470948012,1.0305810397553516,1616.0,2.470948012232416,37.83,-122.21,4.115,2,1,1536,1993,3,1,0,Urban,30458578
6.0666,30.0,6.446064139941691,1.0087463556851313,844.0,2.4606413994169096,37.84,-122.2,3.115,2,1,1238,1983,2,0,0,Urban,22367974
7.0548,34.0,6.125,0.9879032258064516,1140.0,2.2983870967741935,37.84,-122.21,3.259,2,1,1069,1986,1,1,0,Urban,22916224
11.6017,18.0,8.335051546391753,1.0824742268041236,533.0,2.747422680412371,37.84,-122.19,3.926,2,1,1673,1967,1,1,1,Urban,35455584
7.4882,35.0,6.467268623024831,1.0383747178329572,1072.0,2.419864559819413,37.84,-122.2,3.193,2,1,1187,1984,2,1,0,Urban,25634451
6.8976,34.0,6.6122715404699735,1.0287206266318538,1627.0,2.1240208877284594,37.83,-122.21,3.333,2,1,1369,1988,2,1,0,Urban,27709220
8.2049,28.0,6.978947368421053,0.968421052631579,463.0,2.4368421052631577,37.83,-122.19,3.352,2,1,1303,1978,2,1,0,Urban,27134241
8.401,26.0,7.530805687203792,1.0568720379146919,542.0,2.5687203791469195,37.83,-122.2,3.512,2,1,1661,1971,2,1,0,Urban,31611798
6.8538,29.0,6.657992565055762,1.0074349442379182,661.0,2.45724907063197,37.83,-122.19,3.689,2,1,1253,1982,1,0,0,Urban,23806348
8.317,32.0,6.977186311787072,1.0038022813688212,635.0,2.414448669201521,37.82,-122.19,3.659,2,1,1363,1981,3,1,0,Urban,28853192
7.0175,37.0,6.982954545454546,1.0284090909090908,420.0,2.3863636363636362,37.82,-122.2,3.667,2,1,1477,1988,3,0,0,Urban,26855095
6.3302,39.0,7.54,1.068,1265.0,2.53,37.82,-122.2,3.628,2,1,1384,1991,2,0,0,Urban,26383543
6.3624,30.0,5.615384615384615,0.7307692307692307,126.0,2.423076923076923,37.81,-122.18,4.833,1,1,1145,1979,2,1,0,Urban,23127000
7.0549,52.0,6.785714285714286,0.9514285714285714,813.0,2.322857142857143,37.82,-122.21,3.314,2,1,1487,1999,2,0,0,Urban,27467339
6.7851,45.0,6.957746478873239,1.0234741784037558,1067.0,2.504694835680751,37.81,-122.2,3.235,2,1,1230,1995,1,1,1,Urban,28893168
2.8929,50.0,5.132246376811594,1.0960144927536233,1260.0,2.282608695652174,37.8,-122.21,2.167,2,1,1044,2001,1,1,0,Urban,19526553
3.0812,38.0,4.628336755646817,1.0985626283367556,951.0,1.9527720739219712,37.8,-122.21,2.331,2,1,951,1986,1,0,0,Urban,17424235
5.2402,52.0,6.200892857142857,0.9464285714285714,510.0,2.2767857142857144,37.81,-122.21,2.964,2,1,1318,2005,3,1,0,Urban,25437035
6.5217,52.0,6.39935064935065,1.0876623376623376,765.0,2.4837662337662336,37.81,-122.22,2.737,2,1,1156,2000,1,1,1,Urban,27358887
3.2632,52.0,4.745652173913044,1.0108695652173914,1129.0,2.4543478260869565,37.8,-122.22,2.277,2,1,817,2006,1,1,1,Urban,21152878
3.0298,52.0,5.183673469387755,1.0521541950113378,1073.0,2.433106575963719,37.8,-122.22,1.996,2,1,1088,1998,2,1,0,Urban,21414618
4.5428,52.0,5.283495145631068,1.050485436893204,1185.0,2.3009708737864076,37.8,-122.22,2.398,2,1,1086,2005,1,1,0,Urban,21844859
4.072,52.0,5.952941176470588,0.9970588235294118,756.0,2.223529411764706,37.81,-122.22,2.701,2,1,1215,2000,1,1,1,Urban,25789219
5.3509,52.0,5.65067178502879,1.0287907869481765,1034.0,1.9846449136276392,37.81,-122.22,3.021,2,1,1164,2000,2,0,0,Urban,22941364
3.1603,52.0,4.429193899782135,1.0588235294117647,787.0,1.7145969498910676,37.8,-122.23,2.695,2,1,817,2006,2,1,0,Urban,18723766
4.7708,52.0,6.727699530516432,1.0751173708920188,612.0,2.8732394366197185,37.81,-122.23,3.147,2,1,1368,1997,2,1,0,Urban,25920401
8.1564,52.0,7.7026315789473685,1.0578947368421052,1021.0,2.6868421052631577,37.81,-122.22,3.901,2,1,1569,1998,2,0,0,Urban,29080613
8.8793,52.0,8.972868217054264,1.1317829457364341,861.0,3.3372093023255816,37.81,-122.23,4.103,2,1,1723,1999,2,0,0,Urban,31047302
6.8591,52.0,7.599388379204893,0.9571865443425076,953.0,2.914373088685015,37.81,-122.24,3.524,2,1,1706,2003,2,1,0,Urban,31441835
6.0302,52.0,5.8203125,0.9296875,634.0,2.4765625,37.81,-122.24,2.873,2,1,1211,2005,2,1,0,Urban,24798134
7.508,52.0,7.994318181818182,1.0369318181818181,878.0,2.4943181818181817,37.81,-122.23,3.487,2,1,1479,2001,1,1,0,Urban,28143922
2.7477,52.0,4.333333333333333,1.1387163561076605,918.0,1.9006211180124224,37.81,-122.24,2.438,2,1,932,2000,2,1,1,Urban,22562391
2.1944,52.0,5.074285714285714,0.96,360.0,2.057142857142857,37.8,-122.24,2.115,2,1,917,1998,1,0,0,Urban,16198074
3.0149,52.0,4.276639344262295,1.0450819672131149,1197.0,2.4528688524590163,37.8,-122.25,2.184,2,1,934,2003,1,1,1,Urban,21993085
3.675,52.0,4.851351351351352,0.9691119691119691,1048.0,2.023166023166023,37.81,-122.24,2.699,2,1,1086,2002,1,0,0,Urban,19782359
3.225,46.0,4.326639892904953,1.1178045515394912,1373.0,1.8380187416331994,37.81,-122.25,2.188,2,1,783,1997,1,1,0,Urban,18153441
2.9345,42.0,4.059113300492611,1.0492610837438423,1715.0,1.6896551724137931,37.8,-122.25,2.25,2,1,908,1994,2,1,0,Urban,20129880
2.1429,43.0,3.2742382271468142,1.0969529085872576,1359.0,1.8822714681440442,37.8,-122.25,2.5,2,1,696,1996,2,1,0,Urban,17409699
1.6121,41.0,3.5617433414043584,1.1355932203389831,1062.0,2.5714285714285716,37.8,-122.25,1.714,2,1,794,1995,1,1,0,Urban,16863336
1.3929,29.0,3.1927554980595083,1.1177231565329884,1335.0,1.7270375161707632,37.8,-122.25,1.938,2,1,828,1978,3,1,0,Urban,17209917
2.3173,27.0,3.804195804195804,1.1468531468531469,1171.0,2.7296037296037294,37.79,-122.24,1.25,2,1,736,1976,2,1,0,Urban,16126723
1.7772,45.0,3.882608695652174,1.1434782608695653,1475.0,3.2065217391304346,37.79,-122.25,0.975,2,1,701,1993,3,1,0,Urban,17248637
2.6458,50.0,3.2091836734693877,0.9591836734693877,742.0,3.7857142857142856,37.79,-122.25,1.25,2,1,552,1997,2,1,1,Urban,18565816
2.181,52.0,3.6887052341597797,1.0771349862258952,1086.0,2.9917355371900825,37.79,-122.25,1.388,2,1,656,2003,1,0,0,Urban,13549398
2.2303,36.0,3.0902394106813995,1.1160220994475138,1645.0,3.029465930018416,37.8,-122.25,1.167,2,1,610,1985,3,1,0,Urban,16885375
1.6504,43.0,3.639751552795031,1.0046583850931676,1710.0,2.6552795031055902,37.8,-122.25,1.518,2,1,762,1994,3,1,0,Urban,18318505
2.2697,52.0,4.368421052631579,1.0,731.0,3.206140350877193,37.8,-122.24,1.27,2,1,901,1998,2,1,0,Urban,19796907
2.1563,52.0,4.585014409221902,1.07492795389049,1118.0,3.2219020172910664,37.8,-122.24,1.286,2,1,999,2005,1,1,0,Urban,19672262
2.1348,52.0,4.7343283582089555,1.1880597014925374,1006.0,3.002985074626866,37.8,-122.24,1.406,2,1,948,2005,1,1,0,Urban,18419173
2.6292,47.0,3.693140794223827,1.0613718411552346,1213.0,2.1895306859205776,37.8,-122.24,1.827,2,1,883,2000,2,0,0,Urban,17902273
2.3833,52.0,4.638132295719845,1.1245136186770428,772.0,3.0038910505836576,37.8,-122.23,1.469,2,1,901,2001,1,1,0,Urban,18508611
2.957,52.0,4.496259351620948,1.0473815461346634,1321.0,3.29426433915212,37.8,-122.24,1.228,2,1,1171,2006,2,1,1,Urban,25390559
2.5238,49.0,4.192023633677991,1.106351550960118,1487.0,2.1964549483013296,37.8,-122.24,1.693,2,1,900,2002,2,1,0,Urban,20037619
1.9375,52.0,4.209677419354839,0.989247311827957,488.0,2.6236559139784945,37.8,-122.23,1.266,2,1,756,1997,1,1,0,Urban,16271554
1.9028,51.0,4.0561224489795915,1.0561224489795917,949.0,2.420918367346939,37.8,-122.23,1.279,2,1,704,1997,2,0,0,Urban,15161660
2.25,50.0,4.20722891566265,1.1566265060240963,1149.0,2.7686746987951807,37.8,-122.23,1.235,2,1,889,2004,2,1,1,Urban,21598738
